epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1489,1.39555,2.26751,1.56994,0.48039,0.57164,0.49895,0.24309,1.6543,2.68193,2.09064,0.0004287,0.0004287,0.0004287
2,31.3942,1.50228,1.6029,1.61849,0.54839,0.64125,0.63012,0.3346,1.47519,3.85791,2.64698,0.000854431,0.000854431,0.000854431
3,42.3762,1.52475,1.51379,1.61357,0.42612,0.54213,0.4359,0.19558,1.74658,5.27285,3.0945,0.00126262,0.00126262,0.00126262
4,53.7833,1.47233,1.42386,1.60895,0.60834,0.64957,0.60456,0.31098,1.58377,3.00488,2.19551,0.00134412,0.00134412,0.00134412
5,64.2637,1.4079,1.34251,1.54081,0.55946,0.66786,0.64402,0.37031,1.45915,2.03309,2.01811,0.00131582,0.00131582,0.00131582
6,74.4839,1.42115,1.31013,1.56033,0.5298,0.69941,0.63747,0.35432,1.54369,1.6506,1.98038,0.00128753,0.00128753,0.00128753
7,85.4429,1.3652,1.26195,1.50063,0.57309,0.68288,0.66363,0.34886,1.50863,1.46261,1.92724,0.00125923,0.00125923,0.00125923
8,96.1776,1.36828,1.26225,1.51777,0.53554,0.76745,0.65216,0.34952,1.52405,1.55334,1.9525,0.00123094,0.00123094,0.00123094
9,107.036,1.34483,1.22106,1.4907,0.75162,0.62533,0.6556,0.37403,1.5173,1.47598,1.82281,0.00120265,0.00120265,0.00120265
10,118.046,1.2801,1.17854,1.45642,0.75812,0.61699,0.74127,0.44505,1.33397,1.40224,1.63465,0.00117435,0.00117435,0.00117435
11,129.152,1.27378,1.12694,1.45617,0.80727,0.6145,0.75172,0.41902,1.46752,1.33122,1.73384,0.00114606,0.00114606,0.00114606
12,140.045,1.28653,1.14069,1.44139,0.49614,0.74414,0.64429,0.33959,1.51609,1.44481,1.77627,0.00111776,0.00111776,0.00111776
13,150.502,1.27953,1.13187,1.43024,0.73827,0.60819,0.7113,0.42145,1.49304,1.35758,1.77149,0.00108947,0.00108947,0.00108947
14,161.647,1.19851,1.06072,1.39677,0.61333,0.75997,0.68592,0.40464,1.39076,1.44705,1.70458,0.00106118,0.00106118,0.00106118
15,172.673,1.18622,1.03678,1.38139,0.7298,0.69893,0.74691,0.41589,1.52534,1.24805,1.80502,0.00103288,0.00103288,0.00103288
16,183.726,1.19742,1.09962,1.42082,0.67061,0.60211,0.6706,0.36756,1.50937,1.32796,1.80604,0.00100459,0.00100459,0.00100459
17,194.557,1.17794,1.03569,1.38361,0.75716,0.67043,0.73122,0.4459,1.41407,1.20338,1.67942,0.000976293,0.000976293,0.000976293
18,205.31,1.15779,1.05108,1.34695,0.55956,0.80058,0.71951,0.41285,1.38754,1.27343,1.66514,0.000947999,0.000947999,0.000947999
19,215.37,1.16109,0.98351,1.36948,0.62047,0.78495,0.72383,0.43317,1.43434,1.27372,1.7172,0.000919704,0.000919704,0.000919704
20,226.168,1.17248,0.99519,1.37819,0.67313,0.71079,0.70127,0.3978,1.47857,1.37139,1.81296,0.00089141,0.00089141,0.00089141
21,237.388,1.13898,0.9836,1.35192,0.66127,0.75248,0.75988,0.42807,1.50299,1.2264,1.7388,0.000863116,0.000863116,0.000863116
22,248.411,1.07385,0.90753,1.31417,0.72763,0.6842,0.73102,0.42855,1.42121,1.21879,1.70298,0.000834822,0.000834822,0.000834822
23,259.378,1.11103,0.94419,1.32025,0.7065,0.73255,0.71123,0.40428,1.44404,1.19476,1.7119,0.000806528,0.000806528,0.000806528
24,269.987,1.08543,0.9268,1.31624,0.71315,0.76213,0.71624,0.42027,1.4515,1.19861,1.73058,0.000778233,0.000778233,0.000778233
25,280.204,1.05084,0.8997,1.29794,0.60303,0.80793,0.69303,0.40901,1.46658,1.30565,1.74471,0.000749939,0.000749939,0.000749939
26,290.784,1.07521,0.88393,1.29977,0.73238,0.67219,0.72831,0.42108,1.45863,1.19622,1.7243,0.000721645,0.000721645,0.000721645
27,301.553,1.06543,0.88192,1.30784,0.69561,0.70409,0.76123,0.44601,1.44438,1.20055,1.67625,0.000693351,0.000693351,0.000693351
28,312.445,1.03828,0.89263,1.27966,0.70969,0.79612,0.77299,0.45122,1.4417,1.12798,1.67059,0.000665057,0.000665057,0.000665057
29,323.546,1.0483,0.93952,1.30942,0.59029,0.78322,0.71786,0.42198,1.45737,1.27842,1.65688,0.000636762,0.000636762,0.000636762
30,334.36,1.00142,0.85548,1.2675,0.68098,0.8068,0.74321,0.4486,1.40377,1.12095,1.64527,0.000608468,0.000608468,0.000608468
31,344.485,1.01637,0.86008,1.25813,0.58972,0.78111,0.72861,0.42496,1.4247,1.27571,1.69374,0.000580174,0.000580174,0.000580174
32,355.202,0.97078,0.82429,1.24192,0.65147,0.79713,0.74075,0.43896,1.43146,1.16114,1.67401,0.00055188,0.00055188,0.00055188
33,366.016,1.01211,0.82391,1.28677,0.61184,0.80072,0.73171,0.40936,1.42265,1.22258,1.70442,0.000523586,0.000523586,0.000523586
34,376.951,0.98921,0.82528,1.25935,0.68381,0.77049,0.75558,0.4555,1.41378,1.1793,1.71098,0.000495291,0.000495291,0.000495291
35,387.888,0.99813,0.86119,1.25698,0.7133,0.78495,0.76341,0.43671,1.42693,1.27028,1.68941,0.000466997,0.000466997,0.000466997
36,398.521,0.95115,0.77967,1.2342,0.75012,0.78629,0.78474,0.46311,1.39646,1.1254,1.68447,0.000438703,0.000438703,0.000438703
37,408.701,0.94673,0.78034,1.21762,0.69072,0.79612,0.75002,0.43839,1.40555,1.16243,1.68942,0.000410409,0.000410409,0.000410409
38,419.407,0.91322,0.75934,1.19659,0.72022,0.69644,0.76128,0.44613,1.43757,1.16824,1.69904,0.000382115,0.000382115,0.000382115
39,430.189,0.96336,0.81599,1.22692,0.68124,0.76433,0.72311,0.41571,1.46436,1.21562,1.7532,0.00035382,0.00035382,0.00035382
40,440.914,0.90905,0.76367,1.19801,0.64267,0.7663,0.74403,0.42251,1.45835,1.22664,1.7239,0.000325526,0.000325526,0.000325526
41,453.213,0.80845,0.59252,1.17429,0.7239,0.80894,0.78331,0.45431,1.42974,1.16644,1.75187,0.000297232,0.000297232,0.000297232
42,464.029,0.78528,0.57797,1.16144,0.79965,0.79997,0.80315,0.47332,1.41327,1.13574,1.6822,0.000268938,0.000268938,0.000268938
43,474.075,0.78284,0.55786,1.14608,0.76183,0.79353,0.78203,0.48762,1.36754,1.1138,1.65357,0.000240644,0.000240644,0.000240644
44,484.454,0.76816,0.54019,1.1483,0.84909,0.72335,0.79459,0.47599,1.39343,1.13848,1.66175,0.000212349,0.000212349,0.000212349
45,494.953,0.71759,0.5205,1.11275,0.76706,0.79698,0.79596,0.47965,1.37302,1.13156,1.64583,0.000184055,0.000184055,0.000184055
46,505.525,0.7435,0.55042,1.14087,0.83126,0.74204,0.80262,0.47947,1.37915,1.18001,1.66372,0.000155761,0.000155761,0.000155761
47,515.982,0.71982,0.52043,1.10518,0.81132,0.75803,0.80257,0.48155,1.38316,1.13639,1.70851,0.000127467,0.000127467,0.000127467
48,526.156,0.69871,0.5101,1.08695,0.74125,0.80888,0.79589,0.47904,1.41993,1.12247,1.77463,9.91726e-05,9.91726e-05,9.91726e-05
49,536.276,0.67191,0.4882,1.08806,0.7649,0.81273,0.79709,0.4775,1.38724,1.16234,1.72114,7.08784e-05,7.08784e-05,7.08784e-05
50,546.748,0.69244,0.49659,1.10605,0.74245,0.83187,0.80403,0.47436,1.3679,1.15983,1.67986,4.25842e-05,4.25842e-05,4.25842e-05
